group,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
    Ukraine,n.s.,n.s.,1,(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),-1,1,(*),-1,-2,-2,1,3,(*),-6,(*),(D),-2,4,-17,3,2,-5
    Union of Soviet Socialist Republics,(D),(D),n.s.,n.s.,...,...,...,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.
    Uzbekistan,n.s.,n.s.,0,0,0,0,0,-1,-1,(*),2,0,0,0,n.s.,0,0,-1,(*),-1,2,0,0,(*),(*),(*),(*),(*),(*),(*),(*),(*)
    Vatican City,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Yugoslavia,11,1,n.s.,n.s.,...,...,...,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.
Japan,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.
"Australia, New Zealand, and South Africa",n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.
  Australia,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.
  New Zealand,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.
  South Africa,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.
Latin America and Other Western Hemisphere,5199,-4490,3267,3462,3549,2886,1990,4854,-2569,16929,12741,8232,10342,9186,-2945,-3169,11808,2484,8822,7990,13424,21137,-863,16254,13627,11628,30655,-4083,41147,38792,-7260,22778
  South and Central America,992,834,970,-1261,955,592,1090,470,1831,1422,4749,-1606,4461,4610,2915,2080,2166,-284,596,1093,2824,7200,-93,3453,1880,846,2054,1503,4735,2948,4178,11146
    Brazil,-46,111,18,191,-13,116,-64,53,-85,116,106,-290,342,-334,668,985,-468,492,278,-1539,2718,3681,-101,555,-407,-750,-1694,-524,2986,2650,922,800
    Mexico,224,167,647,-110,1058,-263,-47,331,871,1273,5062,-716,2349,2173,-629,-19,2265,291,731,2469,-123,2432,304,3157,1742,1116,2900,2729,260,-511,2236,5985
    Panama,870,576,407,-494,-210,329,860,278,988,-226,-1087,297,1871,2664,1403,895,1618,1023,188,144,-553,87,-88,307,208,243,89,-339,355,-176,1158,61
    Venezuela,-72,11,-110,-835,135,111,146,-267,-77,416,647,-347,123,-86,624,308,-1362,-2032,-1465,158,420,503,322,-594,246,224,369,-30,758,127,(D),-379
    Other,16,-32,9,-14,-15,299,195,75,134,-158,22,-550,-224,193,849,-89,113,-58,863,-138,362,497,-530,28,90,13,389,-334,376,859,(D),4680
      Argentina,50,-41,26,-25,37,354,160,18,95,-31,-32,-172,581,-352,-49,-94,107,-53,182,-366,18,-228,-95,-63,-35,-50,17,-22,-285,405,21,169
      Belize,(D),(D),0,1,0,0,0,0,0,0,0,0,0,0,(*),4,2,5,(D),-1,(*),1,-1,(D),-1,(D),(D),-2,-1,(D),(D),(D)
      Bolivia,-2,3,(D),-3,2,1,(*),(*),(D),(D),(D),(*),-2,1,1,(*),2,(*),3,-1,-1,9,-27,(D),29,(D),(D),29,-4,2,1,1
      Brazil,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.
      Chile,-35,21,10,-21,(*),-4,4,41,43,(*),-19,-204,189,29,27,73,144,-3,-89,-32,88,-28,38,59,67,158,116,-5,338,235,-16,292
      Colombia,(*),-8,(*),-13,-8,-15,-6,8,12,-14,-22,-57,(D),84,241,228,277,118,388,226,119,524,-88,-114,-239,169,75,-31,-29,3,-158,96
      Costa Rica,-3,5,-3,(*),-9,4,8,-20,6,-62,57,-4,-5,-2,-1,-111,4,-10,80,-13,-2,-29,-32,50,-32,20,82,-132,-72,27,99,67
      Ecuador,1,(*),5,-1,-2,2,1,3,4,(*),3,5,-3,3,(*),-15,5,-9,-10,31,49,-13,-8,-25,-4,2,-5,29,7,(*),-5,-32
      El Salvador,(*),(*),(*),-1,-2,-1,3,1,-3,(*),3,-1,-3,10,-15,-4,(*),-7,9,-2,-2,4,-1,(*),-11,6,2,10,(D),(D),-1,23
      French Guiana,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,n.s.,n.s.,n.s.,n.s.,0,0,0,(D),(D),(D),(D),0,0,5,(D),(*),(*),(*)
      Guatemala,3,-8,(D),(D),(D),-24,(D),(D),-4,-12,16,-4,(D),345,(D),(D),-13,18,-31,-41,50,-8,16,-5,-11,6,17,-11,-16,13,2,-26
      Guyana,(*),0,-2,2,0,0,-1,0,0,-2,2,0,0,0,0,0,0,n.s.,0,0,0,-2,(*),(D),(D),(D),(D),(*),(D),(D),(D),(D)
      Honduras,-1,-1,-1,-1,-3,-2,-2,-2,2,2,-4,1,(*),-6,3,-4,-6,-6,12,(D),(D),-29,-25,14,2,3,17,-26,-27,-4,-9,-11
      Mexico,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.
      Nicaragua,(*),(*),(*),(*),(*),(*),-9,(D),(D),(D),(D),5,-1,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),2,(D),(D),3,-1
      Paraguay,0,0,0,0,0,0,0,0,(*),(*),0,-1,1,(*),0,-1,(D),(D),(*),-2,3,1,-1,-1,(D),(D),(*),1,-7,(D),-4,(D)
      Peru,(D),(D),(*),(D),(D),7,(D),-4,13,-33,-8,-124,(D),(D),(D),-119,-461,53,48,73,69,20,-118,42,-45,-3,23,4,4,-13,-1,-48
      Suriname,0,0,(*),(*),(*),(*),(*),0,0,0,0,0,0,0,n.s.,n.s.,0,(*),(*),2,(*),(*),(*),(*),(*),(*),(D),(*),(D),(D),(D),0
      Uruguay,-1,3,-27,32,-6,-24,11,33,-13,-7,(*),8,7,120,-22,-56,41,-112,214,26,-1,216,-79,-46,400,-299,68,-184,461,184,390,4270
      Venezuela,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.
  Other Western Hemisphere,4208,-5324,2297,4723,2594,2294,900,4384,-4400,15507,7991,9839,5881,4577,-5861,-5249,9642,2769,8226,6897,10599,13937,-770,12801,11748,10782,28601,-5587,36411,35844,-11438,11632
    Bahamas,1573,-2533,1295,678,149,235,664,-50,-47,-191,-51,-44,-346,-70,59,-598,150,94,-473,450,-456,-72,8,23,183,-128,-460,179,349,541,45,153
